id,name,category,what,primaryAuth,authMethods,access,accessDetail,apiStyle,breadth,mcp,mcpScope,verdict,priority,blocker,confidence,evidence,verifiedAt
63,Netlify,"Developer, Infra and Data platforms","Cloud platform for sites, deploys, functions, forms, domains, environment variables, and teams.",Mixed,OAuth2; personal access token,Self-serve,Free accounts and personal tokens are self-serve.,REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Production deploys, secrets, domains, and team permissions.",High,https://docs.netlify.com/api/get-started/; https://docs.netlify.com/welcome/build-with-ai/netlify-mcp-server/,2026-08-18
64,Cloudflare,"Developer, Infra and Data platforms","Internet platform for DNS, zones, Workers, storage, security, analytics, tunnels, and accounts.",API key,API token; legacy global key,Self-serve,Free accounts and scoped API tokens are self-serve.,REST; GraphQL Analytics,Broad,Official,Action,Ready,Easy win,"Massive surface, DNS and security blast radius, account scopes, and write confirmation.",High,https://developers.cloudflare.com/fundamentals/api/get-started/create-token/; https://developers.cloudflare.com/agents/model-context-protocol/mcp-servers-for-cloudflare/,2026-08-18
65,Supabase,"Developer, Infra and Data platforms","Backend platform for Postgres, auth, storage, edge functions, realtime, projects, and management.",Mixed,Project API key; personal access token; database credentials,Self-serve,Free projects and credentials are self-serve.,REST; GraphQL; Postgres; Realtime,Broad,Official,Action,Ready,Easy win,"Database writes, service-role keys, production-project targeting, and schema migration risk.",High,https://supabase.com/docs/guides/api; https://supabase.com/docs/guides/getting-started/mcp,2026-08-18
66,Neo4j,"Developer, Infra and Data platforms","Graph database platform for Cypher queries, graph data, schemas, instances, and analytics.",Mixed,Basic; Bearer token,Self-serve,Aura free instances and local Community Edition are self-serve.,Query API; Bolt; REST management,Broad,Official,Action,Ready,Easy win,"Arbitrary Cypher, data mutation, query cost, and credential scoping.",High,https://neo4j.com/docs/query-api/current/authentication/; https://neo4j.com/docs/mcp/current/,2026-08-18
67,Snowflake,"Developer, Infra and Data platforms","Cloud data platform for warehouses, databases, SQL, data sharing, apps, governance, and AI services.",Mixed,OAuth2; key-pair JWT; programmatic access token,Admin/paid,"Trials exist, but useful access requires an account, roles, warehouses, and administrator policies.",SQL; REST; Snowpark,Broad,Official,Action,Ready with constraints,Pilot with guardrails,"Role design, warehouse cost, sensitive data, arbitrary SQL, and administrator setup.",High,https://docs.snowflake.com/en/developer-guide/snowflake-rest-api/authentication; https://docs.snowflake.com/en/user-guide/snowflake-cortex/cortex-agents-mcp,2026-08-18
68,MongoDB Atlas,"Developer, Infra and Data platforms","Managed database platform for clusters, projects, users, backups, alerts, search, and data operations.",Mixed,Service-account OAuth2; public/private API key; database user,Self-serve,Free Atlas projects and credentials are self-serve.,REST; Data API; MongoDB protocol,Broad,Official,Action,Ready,Easy win,"Database mutation, project admin actions, network access lists, and production targeting.",High,https://www.mongodb.com/docs/atlas/api/; https://www.mongodb.com/docs/mcp-server/,2026-08-18
69,Datadog,"Developer, Infra and Data platforms","Observability platform for metrics, logs, traces, monitors, incidents, dashboards, SLOs, and security.",Mixed,API key and app key; OAuth2,Admin/paid,Trials exist; API and app keys are created inside an organization with role permissions.,REST; Webhooks,Broad,Official,Action,Ready with constraints,Pilot with guardrails,"Sensitive telemetry, monitor mutations, incident actions, and organization-level permissions.",High,https://docs.datadoghq.com/api/latest/authentication/; https://docs.datadoghq.com/mcp_server/,2026-08-18
70,Sentry,"Developer, Infra and Data platforms","Error and performance platform for issues, events, releases, projects, alerts, traces, and organizations.",Mixed,OAuth2; auth token,Self-serve,"Free organizations, developer apps, and scoped tokens are self-serve.",REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Issue mutations, release actions, sensitive stack data, and organization permissions.",High,https://docs.sentry.io/api/auth/; https://docs.sentry.io/ai/mcp/,2026-08-18
71,Notion,Productivity and Project Management,"Workspace platform for pages, databases, data sources, blocks, users, comments, and search.",Mixed,OAuth2; internal integration token,Self-serve,Free workspaces and internal integrations are self-serve; public apps use OAuth review.,REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Page sharing, user permissions, destructive edits, and rich block structure.",High,https://developers.notion.com/guides/get-started/authorization; https://developers.notion.com/guides/mcp/overview,2026-08-18
72,Airtable,Productivity and Project Management,"Low-code data platform for bases, tables, records, fields, comments, webhooks, and automations.",Mixed,OAuth2; personal access token,Self-serve,"Free bases, PATs, and OAuth apps are self-serve.",REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Schema variability, record writes, base permissions, and rate limits.",High,https://airtable.com/developers/web/api/authentication; https://support.airtable.com/docs/using-the-airtable-mcp-server,2026-08-18
73,Linear,Productivity and Project Management,"Issue and product-development platform for teams, projects, cycles, issues, comments, documents, and roadmaps.",Mixed,OAuth2; API key,Self-serve,"Free workspaces, personal keys, and OAuth apps are self-serve.",GraphQL; Webhooks,Broad,Official,Action,Ready,Easy win,"Workspace permissions, issue mutation, notification noise, and automation loops.",High,https://developers.linear.app/docs/graphql/working-with-the-graphql-api; https://linear.app/docs/mcp,2026-08-18
74,Jira,Productivity and Project Management,"Issue and project platform for work items, projects, comments, users, boards, sprints, and workflows.",Mixed,OAuth2; API token; Forge auth,Self-serve,"Free Jira sites, developer apps, and OAuth are self-serve; enterprise admins can restrict apps.",REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Complex permissions, workflow transitions, enterprise app policy, and bulk edits.",High,https://developer.atlassian.com/cloud/jira/platform/oauth-2-3lo-apps/; https://developer.atlassian.com/platform/remote-mcp-server/,2026-08-18
75,Asana,Productivity and Project Management,"Work-management platform for tasks, projects, portfolios, goals, teams, users, and attachments.",Mixed,OAuth2; personal access token,Self-serve,"Developer apps, PATs, and free workspaces are self-serve.",REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Task mutation, team permissions, notification noise, and rate limits.",High,https://developers.asana.com/docs/authentication; https://developers.asana.com/docs/using-asanas-mcp-server,2026-08-18
76,Monday.com,Productivity and Project Management,"Work operating system for boards, items, columns, updates, users, workspaces, and automations.",Mixed,OAuth2; API token,Self-serve,Developer apps and trial accounts provide a self-serve path.,GraphQL; Webhooks,Broad,Official,Action,Ready,Easy win,"Highly dynamic schemas, complexity quotas, board permissions, and write confirmation.",High,https://developer.monday.com/api-reference/docs/authentication; https://developer.monday.com/api-reference/docs/integrate-with-monday-mcp,2026-08-18
77,ClickUp,Productivity and Project Management,"Productivity platform for workspaces, spaces, folders, lists, tasks, comments, docs, goals, and time.",Mixed,OAuth2; personal token,Self-serve,"Free workspaces, personal tokens, and OAuth apps are self-serve.",REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Hierarchy complexity, permissions, task mutation, and rate limits.",High,https://developer.clickup.com/docs/authentication; https://developer.clickup.com/docs/connect-an-ai-assistant-to-clickups-mcp-server,2026-08-18
78,Coda,Productivity and Project Management,"Collaborative document platform for docs, pages, tables, rows, formulas, controls, and automations.",Mixed,OAuth2; API token,Self-serve,"Free docs, API tokens, and OAuth apps are self-serve.",REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Document sharing, formula side effects, row mutations, and sync-table semantics.",High,https://coda.io/developers/apis/v1; https://coda.io/resources/guides/getting_started_with_coda_mcp,2026-08-18
79,Smartsheet,Productivity and Project Management,"Enterprise work-management platform for sheets, rows, reports, dashboards, attachments, and automation.",Mixed,OAuth2; access token,Admin/paid,API access requires a Smartsheet account; enterprise administrators may restrict integrations.,REST; Webhooks,Broad,None,None,Ready with constraints,Pilot with guardrails,"Paid tenant, admin policy, spreadsheet-like schema variability, and no native MCP verified.",High,https://developers.smartsheet.com/api/smartsheet/guides/advanced-topics/oauth; https://developers.smartsheet.com/api/smartsheet/openapi,2026-08-18
80,Harvest,Productivity and Project Management,"Time tracking and invoicing platform for time entries, projects, clients, users, expenses, and invoices.",Mixed,OAuth2; personal access token,Self-serve,"Trials, personal tokens, and OAuth apps are self-serve.",REST,Broad,None,None,Ready,Easy win,No native MCP verified; enforce time-entry and invoice write confirmation.,High,https://help.getharvest.com/api-v2/authentication-api/authentication/authentication/; https://help.getharvest.com/api-v2/,2026-08-18
81,Stripe,Finance and Fintech,"Payments platform for customers, payments, subscriptions, invoices, products, disputes, and connected accounts.",Mixed,Secret API key; restricted key; OAuth2,Self-serve,"Test mode, accounts, keys, and Connect apps are self-serve.",REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Money movement, refunds, disputes, PCI boundaries, test-versus-live mode, and idempotency.",High,https://docs.stripe.com/keys; https://docs.stripe.com/mcp,2026-08-18
82,Plaid,Finance and Fintech,"Financial-data platform for bank linking, accounts, transactions, identity, assets, risk, and payments.",Mixed,Client ID and secret; OAuth2 for Dashboard MCP,Review/approval,"Sandbox is self-serve, but live data and products require Production approval and compliance review.",REST; Webhooks,Broad,Official,Limited action,Ready with constraints,Pilot with guardrails,"Production approval, financial data, product eligibility, and MCP scope focused on diagnostics and sandbox tooling.",High,https://plaid.com/docs/quickstart/; https://plaid.com/docs/resources/mcp/,2026-08-18
83,Binance,Finance and Fintech,"Crypto exchange APIs for market data, account data, orders, wallets, transfers, and trading.",Mixed,API key; HMAC or asymmetric signature,Admin/paid,Accounts and API keys are self-serve where the service is legally available; trading and withdrawals require KYC and controls.,REST; WebSocket,Broad,Official,Action,Ready with constraints,Pilot with guardrails,"Jurisdiction, KYC, trading loss, withdrawal risk, rate limits, and key restrictions.",High,https://developers.binance.com/docs/binance-spot-api-docs/rest-api/request-security; https://developers.binance.com/docs/agent,2026-08-18
84,Paygent Connect,Finance and Fintech,NMI-powered payment connectivity for merchant processing and payment workflows.,Other,Provisioned gateway credentials,Partner/sales,No clear public developer credential path or sandbox specific to Paygent Connect was verified.,Unknown,Unknown,None,None,Blocked,Outreach first,"Ambiguous product identity, NMI dependency, partner provisioning, and sparse public docs.",Low,https://www.nmi.com/developers/; https://paygent.com/,2026-08-18
85,iPayX,Finance and Fintech,AI-oriented payments and financial operations platform with documented API and MCP access.,Mixed,API key; OAuth2,Admin/paid,Credentials and production use appear tied to an approved customer workspace or paid account.,REST; MCP tools,Moderate,Official,Action,Ready with constraints,Pilot with guardrails,"Young documentation footprint, financial controls, customer eligibility, and money movement.",Medium,https://www.ipayx.ai/docs; https://www.ipayx.ai/docs/mcp-server,2026-08-18
86,QuickBooks,Finance and Fintech,"Accounting platform for companies, customers, invoices, bills, payments, reports, and bookkeeping data.",OAuth2,OAuth2,Review/approval,Developer accounts and sandbox companies are self-serve; production applications may require Intuit review.,REST; Webhooks,Broad,None,None,Ready with constraints,Pilot with guardrails,"Production review, accounting correctness, tenant authorization, sensitive data, and no native MCP verified.",High,https://developer.intuit.com/app/developer/qbo/docs/develop/authentication-and-authorization/oauth-2.0; https://developer.intuit.com/app/developer/qbo/docs/api/accounting/all-entities/account,2026-08-18
87,Xero,Finance and Fintech,"Cloud accounting platform for organizations, invoices, contacts, bank transactions, payroll, projects, and reports.",OAuth2,OAuth2; custom connections client credentials,Review/approval,"Apps and trials are self-serve; public production use follows consent, certification, and partner rules.",REST; Webhooks,Broad,Official,Action,Ready with constraints,Pilot with guardrails,"Accounting sensitivity, tenant consent, certification, and region-specific payroll.",High,https://developer.xero.com/documentation/guides/oauth2/overview/; https://developer.xero.com/documentation/xero-mcp/overview/,2026-08-18
88,Brex,Finance and Fintech,"Business finance platform for cards, expenses, reimbursements, travel, budgets, users, and payments.",Mixed,OAuth2; user token; client credentials,Admin/paid,"API access is tied to a Brex customer account, administrator authorization, or approved partner integration.",REST; Webhooks; OpenAPI,Broad,Official,Action,Ready with constraints,Pilot with guardrails,"Customer eligibility, admin approval, finance controls, and high-risk card or payment actions.",High,https://developer.brex.com/guides/authentication; https://developer.brex.com/changelog,2026-08-18
89,Ramp,Finance and Fintech,"Corporate finance platform for cards, expenses, reimbursements, bills, travel, users, and accounting.",OAuth2,Client credentials; authorization code,Admin/paid,"Developers need a Ramp customer or partner account, and administrators authorize apps and scopes.",REST; Webhooks,Broad,Official,Action,Ready with constraints,Pilot with guardrails,"Customer account, admin approval, sensitive financial data, and money-moving operations.",High,https://docs.ramp.com/developer-api/v1/authorization; https://docs.ramp.com/developer-api/v1/mcp,2026-08-18
90,PitchBook,Finance and Fintech,"Private-market research platform for companies, deals, investors, funds, people, and market intelligence.",Other,Enterprise-issued credentials,Partner/sales,API and direct-data access are enterprise products sold through PitchBook.,REST; Data feeds,Broad,None,None,Blocked,Outreach first,"Enterprise contract, licensing, redistribution limits, and no self-serve sandbox.",High,https://pitchbook.com/products/direct-data; https://pitchbook.com/data,2026-08-18
91,NotebookLM,"AI, Research and Media-native","AI research workspace grounded in uploaded sources, notebooks, audio, and enterprise knowledge.",OAuth2,Google OAuth2; Application Default Credentials; service account,Admin/paid,"The programmable NotebookLM Enterprise API is part of Gemini Enterprise and needs a Cloud project, billing, and admin configuration.",REST; gRPC,Moderate,None,None,Ready with constraints,Pilot with guardrails,"Enterprise access, v1alpha stability, admin setup, source governance, and no standalone MCP verified.",High,https://cloud.google.com/gemini/enterprise/docs/reference/rpc/google.cloud.notebooklm.v1alpha; https://cloud.google.com/gemini/enterprise/docs/authentication,2026-08-18
92,Otter AI,"AI, Research and Media-native","Meeting transcription platform for recordings, transcripts, summaries, action items, and chat.",OAuth2,OAuth2 through MCP connection,Partner/sales,Otter states it has no general public REST API; official MCP and custom app setup depend on plan and support.,MCP tools,Moderate,Official,Action,Ready with constraints,Pilot with guardrails,"No public REST API, plan eligibility, support-gated setup, and sensitive meeting data.",High,https://help.otter.ai/hc/en-us/articles/35287607569687-Otter-MCP-Server,2026-08-18
93,Fathom,"AI, Research and Media-native","AI meeting assistant for recordings, transcripts, summaries, action items, CRM sync, and team insights.",Mixed,API key; OAuth2,Self-serve,"Users can generate an API key in settings; OAuth registration is available for multi-user integrations, and the official MCP uses OAuth.",REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Meeting privacy, participant consent, workspace permissions, and transcript retention.",High,https://developers.fathom.ai/; https://developers.fathom.ai/mcp-docs,2026-08-18
94,Consensus,"AI, Research and Media-native","AI academic-search product for finding, synthesizing, and citing peer-reviewed research.",Mixed,OAuth2 through MCP; issued API access,Self-serve,"The official MCP is directly connectable. It works without an account at low limits, with higher limits after free OAuth sign-in; separate API access is request-based.",REST; MCP tools,Moderate,Official,Action,Ready,Easy win,"Low free-tier quotas, citation fidelity, query pacing, and product-specific corpus coverage.",High,https://consensus.app/home/api; https://consensus.app/home/mcp,2026-08-18
95,Reducto,"AI, Research and Media-native","Document ingestion and parsing platform for OCR, layout, tables, extraction, splitting, and structured output.",Mixed,API key; OAuth device flow for MCP,Self-serve,"Developers can sign up, obtain trial credits, and use the API directly.",REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Document privacy, large files, asynchronous jobs, extraction uncertainty, and credit controls.",High,https://docs.reducto.ai/; https://docs.reducto.ai/mcp/overview,2026-08-18
96,Devin,"AI, Research and Media-native","Autonomous software-engineering agent platform for coding sessions, repositories, tasks, knowledge, and automation.",API key,Service-user API key,Admin/paid,API and MCP require a Devin organization and administrator-issued service-user credentials.,REST; Webhooks,Moderate,Official,Action,Ready with constraints,Pilot with guardrails,"Paid organization, repository permissions, cost, and autonomous code-change risk.",High,https://docs.devin.ai/api-reference/overview; https://docs.devin.ai/integrations/mcp,2026-08-18
97,Higgsfield,"AI, Research and Media-native","Generative media suite and CLI for creating, editing, and orchestrating video, images, and content workflows.",Mixed,OAuth2; CLI token,Self-serve,Users can create an account and install the CLI or MCP integration; generation depends on credits.,CLI; MCP tools,Moderate,Official,Action,Ready,Easy win,"Credit spend, asynchronous generation, media-safety policy, and large artifacts.",Medium,https://higgsfield.ai/cli; https://higgsfield.ai/mcp,2026-08-18
98,Mermaid CLI,"AI, Research and Media-native","Open-source command-line renderer that converts Mermaid diagrams into SVG, PNG, or PDF.",None,No auth for local use,Open-source/local,The package and source are public and run locally.,CLI,Local,Local skill,Local action,Ready,Easy win,"Untrusted diagram input, Chromium sandboxing, file paths, and resource limits.",High,https://github.com/mermaid-js/mermaid-cli,2026-08-18
99,YouTube Transcript,"AI, Research and Media-native","Third-party API for YouTube transcripts, channel data, search results, and transcript workflows.",Token,Bearer API key,Self-serve,Developers can sign up for trial credits and an API key.,REST,Moderate,Official,Action,Ready,Easy win,"Third-party dependency, unavailable captions, YouTube policy, rate limits, and content rights.",High,https://transcriptapi.com/docs; https://transcriptapi.com/docs/mcp/,2026-08-18
100,Grain,"AI, Research and Media-native","AI meeting-notes platform for recordings, transcripts, summaries, clips, stories, and CRM workflows.",Mixed,OAuth2; API token,Self-serve,"The official MCP works across Free, Starter, Business, and Enterprise plans; deal and coaching tools require higher plans.",REST; Webhooks,Broad,Official,Action,Ready,Easy win,"Workspace authorization, meeting privacy, participant consent, and premium-only deal or coaching tools.",High,https://developers.grain.com/; https://developers.grain.com/mcp,2026-08-18
